"TableName","IndexName","IndexType","is_primary_key","is_unique","user_seeks","user_scans","user_lookups","user_updates","last_user_seek","last_user_scan","last_user_lookup","last_user_update"
"Customers","IX_Customers_City","NONCLUSTERED","False","False","0","0","0","10000","","","","19/08/2025 12:25:40"
"Customers","IX_Customers_Country","NONCLUSTERED","False","False","0","0","0","10000","","","","19/08/2025 12:25:40"
"Customers","IX_Customers_Email","NONCLUSTERED","False","False","0","0","0","10000","","","","19/08/2025 12:25:40"
"Customers","PK__Customer__A4AE64B84AB9FB39","CLUSTERED","True","True","0","0","0","10000","","","","19/08/2025 12:25:40"
"Employees","PK__Employee__7AD04FF16DFCB28A","CLUSTERED","True","True","","","","","","","",""
"OrderDetails","IX_OrderDetails_OrderID","NONCLUSTERED","False","False","","","","","","","",""
"OrderDetails","PK__OrderDet__D3B9D30CB53E6C98","CLUSTERED","True","True","","","","","","","",""
"Orders","IX_Orders_CustomerID","NONCLUSTERED","False","False","","","","","","","",""
"Orders","IX_Orders_EmployeeID","NONCLUSTERED","False","False","","","","","","","",""
"Orders","PK__Orders__C3905BAF5180810A","CLUSTERED","True","True","","","","","","","",""
"Products","IX_Products_Category","NONCLUSTERED","False","False","","","","","","","",""
"Products","PK__Products__B40CC6ED72932FAC","CLUSTERED","True","True","","","","","","","",""
